author,title,passage_id,text,char_count,word_count,sentence_count,avg_word_length,avg_sentence_length,type_token_ratio,pronoun_freq,function_words_count,punctuation_frequency,sentiment_polarity,sentiment_subjectivity,readability_Kincaid,readability_ARI,readability_Coleman-Liau,readability_FleschReadingEase,readability_GunningFogIndex,readability_LIX,readability_SMOGIndex,readability_RIX,readability_DaleChallIndex,info_characters_per_word,info_syll_per_word,info_words_per_sentence,info_type_token_ratio,info_characters,info_syllables,info_words,info_wordtypes
A. A. Milne,The Red House Mystery,618,"""Yes.... What sort of terms was he on with the guests—you and Miss  Norris and all of them?"" ""Just polite and rather silent, you know. Keeping himself to himself. We didn't see so very much of him, except at meals. We were here to  enjoy ourselves, and—well, _he_ wasn't."" ""He wasn't there when the ghost walked?"" ""No. I heard Mark calling for him when he went back to the house. I  expect Cayley stroked down his feathers a bit, and told him that girls  will be girls....—Hallo, here we are.""",493.0,119.0,9.0,3.4285714285714284,13.22222222222222,0.6554621848739496,0.1092436974789916,56.0,0.0730223123732251,0.1008888888888888,0.2297777777777777,34.141666666666666,44.3796875,6.124181760416668,21.27000000000001,38.81666666666667,103.29166666666669,8.477225575051662,7.0,11.687683333333334,3.78125,1.0416666666666667,96.0,0.7604166666666666,363.0,100.0,96.0,73.0
A. A. Milne,The Red House Mystery,685,"Perhaps I should say that it was Mark's  private plan. My own was different. ""The announcement at breakfast went well. After the golfing-party had  gone off, we had the morning in which to complete our arrangements. What I was chiefly concerned about was to establish as completely as  possible the identity of Robert.",318.0,61.0,5.0,4.327868852459017,12.2,0.7868852459016393,0.0491803278688524,31.0,0.0283018867924528,0.1399999999999999,0.675,22.07740740740741,27.811666666666667,11.417246462962968,32.95833333333335,28.266666666666666,81.77777777777777,19.431676725154983,15.0,9.823788888888888,4.722222222222222,1.4074074074074074,54.0,0.8333333333333334,255.0,76.0,54.0,45.0
A. A. Milne,The Red House Mystery,833,"""Well, he had to mark the particular place by _some_ book. I thought  that the joke of putting 'The Narrow Way' just over the entrance to the  passage might appeal to him. Apparently it did."" Bill nodded to himself thoughtfully several times. ""Yes, that's very  neat,"" he said. ""You're a clever devil, Tony."" Tony laughed. ""You encourage me to think so, which is bad for me, but very  delightful."" ""Well, come on, then,"" said Bill, and he got up, and held out a hand. ""Come on where?"" ""To explore the passage, of course.""",521.0,133.0,11.0,3.300751879699248,12.090909090909092,0.5864661654135338,0.0676691729323308,48.0,0.0825335892514395,0.1537037037037037,0.4537037037037038,35.49578947368421,45.108315789473686,7.654727621052629,9.7805263157895,40.10526315789474,109.73684210526316,15.24744871391589,14.0,11.34028947368421,4.042105263157895,1.1894736842105262,95.0,0.7578947368421053,384.0,113.0,95.0,72.0
A. A. Milne,The Red House Mystery,959,"""I never ought to have asked you,"" said Antony penitently. ""That's all right. I shan't be a moment."" Half-way up the stairs he  turned round and asked, ""Am I in your room?"" ""Yes. Do you know the way?"" ""Yes. Start carving, will you? And order lots of beer."" He disappeared  round the top of the staircase. Antony went slowly in. When the first edge of his appetite had worn off, and he was able to  spare a little time between the mouthfuls, Bill gave an account of his  adventures.",481.0,118.0,12.0,3.3813559322033897,9.833333333333334,0.6271186440677966,0.0762711864406779,45.0,0.0623700623700623,0.0810267857142857,0.4617559523809524,32.9967032967033,42.70296703296703,7.135010065934068,20.57329670329672,38.15824175824176,101.989010989011,13.954451150103322,10.0,11.446913186813187,3.956043956043956,1.10989010989011,91.0,0.7582417582417582,360.0,101.0,91.0,69.0
A. A. Milne,The Red House Mystery,1019,"""And now,"" he said, ""let's try and find out what it was that Mr. Cayley  was doing in here, and why he had to be so very careful that his friend  Mr. Gillingham didn't overhear him."" CHAPTER XIII. The Open Window      Anthony's first thought was that Cayley had hidden something;  something, perhaps, which he had found by the body, and—but that was  absurd.",358.0,80.0,3.0,3.6375,26.666666666666668,0.7,0.05,36.0,0.053072625698324,-0.1093333333333333,0.6333333333333333,23.22059701492537,30.83970149253732,7.189239835820899,47.91656716417913,29.18805970149253,80.43283582089552,13.954451150103322,9.0,10.259102985074628,3.985074626865672,1.0746268656716418,67.0,0.7611940298507462,267.0,72.0,67.0,51.0
A. A. Milne,The Red House Mystery,1308,"He had vaguely  wondered at the time why he had expected the door to be shut, but he  had had no time then to worry the thing out, and he had promised  himself to look into it at his leisure afterwards. Possibly it meant  nothing; possibly, if it meant anything, he could have found out its  meaning by a visit to the office that morning. But he had felt that he  would be more likely to recapture the impressions of yesterday if he  chose as far as possible the same conditions for his experiment.",498.0,102.0,3.0,3.901960784313725,34.0,0.6470588235294118,0.0784313725490196,58.0,0.0160642570281124,3.0839528461809906e-18,0.7250000000000001,35.63170212765958,45.11148936170213,8.279564191489364,7.02500000000002,42.70638297872341,114.2127659574468,21.97366596101028,19.0,10.314644680851064,4.148936170212766,1.2340425531914894,94.0,0.6702127659574468,390.0,116.0,94.0,63.0
A. A. Milne,The Red House Mystery,2150,"He bangs at the door again. Of course, to Antony, coming suddenly upon this scene, Cayley's conduct  had seemed rather absurd, but then, just for the moment, Cayley had  lost his head. Anybody else might have done the same. But, as soon as  Antony suggested trying the windows, Cayley saw that that was the  obvious thing to do. So he leads the way to the windows—the longest  way. Why? To give the murderer time to escape? If he had thought then that  Mark was the murderer, perhaps, yes.",489.0,107.0,8.0,3.700934579439252,13.375,0.6355140186915887,0.02803738317757,44.0,0.0388548057259713,-0.125,0.53125,33.14555555555556,43.24733333333334,8.43515928888889,17.725000000000023,38.22222222222222,103.33333333333331,15.24744871391589,12.0,11.784833333333331,4.177777777777778,1.1555555555555554,90.0,0.7111111111111111,376.0,104.0,90.0,64.0
A. A. Milne,The Red House Mystery,2228,"He always had one £100 note on him, and perhaps ten or twenty  pounds as well."" ""Thank you, Mr. Cayley."" Cayley went back heavily to his seat. ""Damn it,"" said Antony to  himself, ""why do I like the fellow?"" ""Antony Gillingham!"" Again the eager interest of the room could be felt. Who was this  stranger who had got mixed up in the business so mysteriously? Antony smiled at Bill and stepped up to give his evidence.",415.0,98.0,9.0,3.53061224489796,10.88888888888889,0.7142857142857143,0.0408163265306122,36.0,0.053012048192771,0.0583333333333333,0.325,28.955263157894738,36.02973684210527,8.102958289473687,22.831842105263192,33.03157894736842,89.15789473684211,15.24744871391589,10.0,10.938073684210526,4.131578947368421,1.263157894736842,76.0,0.8421052631578947,314.0,96.0,76.0,64.0
A. A. Milne,The Red House Mystery,2935,"""What's the matter?"" said Bill rather peevishly. ""Stand back there. Keep the crowd back, Bill. We are getting amongst  it. Sermons, as I live. Sermons. Was Mark's father a clergyman, or does  Mark take to them naturally?"" ""His father was a parson, I believe. Oh, yes, I know he was."" ""Ah, then these are Father's books. 'Half-Hours with the Infinite'—I  must order that from the library when I get back. 'The Lost Sheep,'  'Jones on the Trinity,' 'The Epistles of St. Paul Explained.' Oh, Bill,  we're amongst it.",513.0,127.0,14.0,3.37007874015748,9.071428571428571,0.5905511811023622,0.0629921259842519,37.0,0.0896686159844054,-0.0272727272727272,0.25,33.24129032258065,44.061935483870975,7.5901298172043,22.38193548387099,38.92043010752688,109.12903225806453,13.954451150103322,15.0,11.814783870967744,4.032258064516129,1.064516129032258,93.0,0.7419354838709677,375.0,99.0,93.0,69.0
A. A. Milne,The Red House Mystery,3347,"He could have another look later on, when he had the dummy  figure in the bed. How long would it be before Cayley came up? It wasn't that he wanted  his friends, Beverley and Gillingham, to be asleep before he started on  his business at the pond; all that he wanted was to be sure that they  were safely in their bedrooms. Cayley's business would make no noise,  give no sign, to attract the most wakeful member of the household, so  long as the household was really inside the house.",485.0,103.0,4.0,3.7864077669902914,25.75,0.6601941747572816,0.058252427184466,51.0,0.0268041237113402,0.2285714285714285,0.4126984126984127,34.01391304347827,43.87076086956521,7.972201945652177,15.061521739130455,39.40869565217392,105.04347826086956,16.41640786499874,12.0,11.460678260869566,4.0978260869565215,1.1630434782608696,92.0,0.7065217391304348,377.0,107.0,92.0,65.0
